MTD,"Honolulu, USA",2011-05-23,2011-05-23,
MCS,"Aix-en-Provence, France",2010-05-18,2010-05-18,
SAMSE ,"Busan, Korea",2011-05-26,2011-05-28,
MML,"Firenze, Italy",2010-10-29,2010-10-29,
CoreGrid,"Naples, Italy ",2010-08-31,2010-08-31,
SocialCom4Health,"Minneapolis, USA",2010-08-20,2010-08-22,
MIST,"Morioka, Japan",2010-06-14,2010-06-15,
SN4CCGridS,"Newport Beach, USA",2011-05-23,2011-05-26,
Taller Comunidades Historia y Desarrollo,"Santa Clara, Cuba",2011-03-15,2011-03-18,
DCNET,"Seville, Spain",2011-07-18,2011-07-21,
KKDEO,"Valencia, Spain",2010-10-27,2010-10-28,
AMPS,"Aachen, Germany",2010-09-22,2010-09-24,
ISWCS,"Aachen, Germany",2011-11-06,2011-11-09,
WSA,"Aachen, Germany",2011-02-24,2011-02-25,
ICE,"Aachen, Germany",2011-06-20,2011-06-22,
ICIRA,"Aachen, Germany",2011-12-06,2011-12-09,
CONCUR,"Aachen, Germany",2011-09-05,2011-09-10,
IWAGPR,"Aachen, Germany",2011-06-22,2011-06-24,
AMPS,"Aachen, Germany",2011-09-28,2011-09-30,
ODS,"Aarhus, Denmark",2010-08-17,2010-08-17,
ICER,"Aarhus, Denmark",2010-08-09,2010-08-10,
DESIRE,"Aarhus, Denmark",2010-08-16,2010-08-17,
ECSCW,"Aarhus, Denmark",2011-09-24,2011-09-28,
III,"Aberdeen, United Kingdom",2011-06-20,2011-06-23,
ICDF2C,"Abu Dhabi, United Arab Emirates",2010-10-04,2010-10-06,
ICITST,"Abu Dhabi, United Arab Emirates",2011-12-11,2011-12-14,
Innovations,"Abu Dhabi, United Arab Emirates",2011-04-25,2011-04-27,
CDS,"Abu Dhabi, United Arab Emirates",2011-04-25,2011-04-27,
NIGERCON,"Abuja, Nigeria",2010-06-17,2010-06-19,
ICAST,"Abuja, Nigeria",2011-12-12,2011-12-14,
WASSA,"Portland, USA",2011-06-24,2011-06-24,
Australian AI,"Adelaide, Australia",2010-12-07,2010-12-10,
CIIECC,"Aguascalientes, Mexico",2011-04-13,2011-04-15,
ICADABAI,"Ahmedabad, India",2011-01-08,2011-01-09,
SSDM,"Aichi, Japan",2011-09-28,2011-09-30,
PrepAsp,"Aix-en-Provence, France",2011-06-03,2011-06-04,
MCSoC,"Aizu-Wakamatsu, Japan",2011-09-21,2011-09-23,
Teaching Lit,"Albuquerque, USA",2010-10-14,2010-10-16,
IPCCC,"Albuquerque, USA",2010-12-09,2010-12-11,
SoSE,"Albuquerque, USA",2011-06-27,2011-06-30,
MTSR,"Alcala de Henares, Spain",2010-10-20,2010-10-22,
KnowGen,"Alessandria, Italy",2010-07-20,2010-07-20,
WebCBR,"Alessandria, Italy",2010-07-19,2010-07-19,
TPP-AUFL,"Alexandria, Egypt",2010-06-30,2010-12-02,
NGBT,"Alexandria, USA",2010-10-19,2010-10-19,
ESTS,"Alexandria, USA",2011-04-10,2011-04-13,
IMAGAPP,"Algarve, Portugal",2011-03-05,2011-03-07,
VISIGRAPP,"Algarve, Portugal",2011-03-05,2011-03-07,
GRAPP,"Algarve, Portugal",2011-03-05,2011-03-07,
CIAWI,"Algarve, Portugal",2010-12-10,2010-12-11,
CIAWI,"Algarve, Portugal",2010-12-10,2010-12-11,
PECCS,"Algarve, Portugal",2011-03-05,2011-03-07,
SAAES11,"Algarve, Portugal",2011-03-05,2011-03-07,
LOCSUE,"Algarve, Portugal",2011-03-05,2011-03-07,
 SIMIE,"Algarve, Portugal",2011-03-05,2011-03-07,
SAAES ,"Algarve, Portugal",2011-03-05,2011-03-07,
ICMWI,"Algiers, Algeria",2010-10-03,2010-10-05,
WWS,"Algiers, Algeria",2010-12-26,2010-12-27,
EGC-Maghreb,"Algiers, Algeria",2010-12-13,2010-12-14,
ISPS,"Algiers, Algeria",2011-04-25,2011-04-27,
